DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX,ETIQUETA
2024-08-20 01:10:00+00:00,6.37,4.31,1.023,MAINTENANCE
2024-08-20 01:11:00+00:00,6.37,4.31,1.03,MAINTENANCE
2024-08-20 01:12:00+00:00,6.37,4.31,1.0,MAINTENANCE
2024-08-20 01:13:00+00:00,6.37,4.31,1.016,MAINTENANCE
2024-08-20 01:14:00+00:00,6.43,4.31,1.017,MAINTENANCE
2024-08-20 01:15:00+00:00,6.43,4.31,1.014,MAINTENANCE
2024-08-20 01:16:00+00:00,6.43,4.31,1.015,MAINTENANCE
2024-08-20 01:17:00+00:00,6.37,4.31,1.015,MAINTENANCE
2024-08-20 01:18:00+00:00,6.37,4.31,1.015,MAINTENANCE
2024-08-20 01:19:00+00:00,6.37,4.31,1.034,MAINTENANCE
2024-08-20 01:20:00+00:00,6.43,4.31,1.013,MAINTENANCE
2024-08-20 01:21:00+00:00,6.37,4.31,0.992,MAINTENANCE
2024-08-20 01:22:00+00:00,6.37,4.31,1.022,MAINTENANCE
2024-08-20 01:23:00+00:00,6.43,4.31,1.031,MAINTENANCE
2024-08-20 01:24:00+00:00,6.37,4.31,1.024,MAINTENANCE
2024-08-20 01:25:00+00:00,6.37,4.31,1.002,MAINTENANCE
2024-08-20 01:26:00+00:00,6.37,4.31,1.011,MAINTENANCE
2024-08-20 01:27:00+00:00,6.43,4.31,1.006,MAINTENANCE
2024-08-20 01:28:00+00:00,6.37,4.31,1.017,MAINTENANCE
2024-08-20 01:29:00+00:00,6.37,4.31,1.013,MAINTENANCE
2024-08-20 01:30:00+00:00,6.37,4.37,1.013,MAINTENANCE
2024-08-20 01:31:00+00:00,6.37,4.37,1.016,MAINTENANCE
2024-08-20 01:32:00+00:00,6.37,4.37,1.014,MAINTENANCE
2024-08-20 01:33:00+00:00,6.37,4.37,1.014,MAINTENANCE
2024-08-20 01:34:00+00:00,6.37,4.37,1.041,MAINTENANCE
2024-08-20 01:35:00+00:00,6.43,4.31,0.96,MAINTENANCE
2024-08-20 01:36:00+00:00,6.37,4.31,1.014,MAINTENANCE
2024-08-20 01:37:00+00:00,6.43,4.31,0.997,MAINTENANCE
2024-08-20 01:38:00+00:00,6.43,4.37,0.979,MAINTENANCE
2024-08-20 01:39:00+00:00,6.37,4.37,1.011,MAINTENANCE
2024-08-20 01:40:00+00:00,6.43,4.37,1.015,MAINTENANCE
2024-08-20 01:41:00+00:00,6.37,4.31,1.013,MAINTENANCE
2024-08-20 01:42:00+00:00,6.43,4.37,1.016,MAINTENANCE
2024-08-20 01:43:00+00:00,6.37,4.37,1.015,MAINTENANCE
2024-08-20 01:44:00+00:00,6.37,4.31,1.013,MAINTENANCE
2024-08-20 01:45:00+00:00,6.37,4.37,1.015,MAINTENANCE
2024-08-20 01:46:00+00:00,6.37,4.37,1.016,MAINTENANCE
2024-08-20 01:47:00+00:00,6.43,4.37,1.016,MAINTENANCE
2024-08-20 01:48:00+00:00,6.37,4.37,1.012,MAINTENANCE
2024-08-20 01:49:00+00:00,6.43,4.37,0.988,MAINTENANCE
2024-08-20 01:50:00+00:00,6.37,4.31,1.019,MAINTENANCE
2024-08-20 01:51:00+00:00,6.43,4.37,1.033,MAINTENANCE
2024-08-20 01:52:00+00:00,6.43,4.37,0.976,MAINTENANCE
2024-08-20 01:53:00+00:00,6.37,4.37,0.994,MAINTENANCE
2024-08-20 01:54:00+00:00,6.37,4.37,1.035,MAINTENANCE
2024-08-20 01:55:00+00:00,6.43,4.31,1.004,MAINTENANCE
2024-08-20 01:56:00+00:00,6.43,4.37,1.014,MAINTENANCE
2024-08-20 01:57:00+00:00,6.43,4.31,1.01,MAINTENANCE
2024-08-20 01:58:00+00:00,6.43,4.31,1.017,MAINTENANCE
2024-08-20 01:59:00+00:00,6.43,4.37,1.014,MAINTENANCE
2024-08-20 02:00:00+00:00,6.43,4.37,1.016,MAINTENANCE
2024-08-20 02:01:00+00:00,6.37,4.37,1.015,MAINTENANCE
2024-08-20 02:02:00+00:00,6.43,4.37,1.013,MAINTENANCE
2024-08-20 02:03:00+00:00,6.43,4.37,1.015,MAINTENANCE
2024-08-20 02:04:00+00:00,6.43,4.31,0.889,MAINTENANCE
2024-08-20 02:05:00+00:00,6.43,4.31,0.891,MAINTENANCE
2024-08-20 02:06:00+00:00,6.43,4.37,0.984,MAINTENANCE
2024-08-20 02:07:00+00:00,6.5,4.37,1.033,MAINTENANCE
2024-08-20 02:08:00+00:00,6.43,4.37,1.057,MAINTENANCE
2024-08-20 02:09:00+00:00,6.43,4.37,1.051,MAINTENANCE
2024-08-20 02:10:00+00:00,6.37,4.31,1.038,MAINTENANCE
2024-08-20 02:11:00+00:00,6.37,4.37,1.008,MAINTENANCE
2024-08-20 02:12:00+00:00,6.43,4.37,1.02,MAINTENANCE
2024-08-20 02:13:00+00:00,6.43,4.37,1.015,MAINTENANCE
2024-08-20 02:14:00+00:00,6.43,4.37,1.01,MAINTENANCE
2024-08-20 02:15:00+00:00,6.37,4.31,1.014,MAINTENANCE
2024-08-20 02:16:00+00:00,6.37,4.37,1.014,MAINTENANCE
2024-08-20 02:17:00+00:00,6.43,4.37,1.015,MAINTENANCE
2024-08-20 02:18:00+00:00,6.43,4.37,1.015,MAINTENANCE
2024-08-20 02:19:00+00:00,6.43,4.37,1.009,MAINTENANCE
2024-08-20 02:20:00+00:00,6.43,4.37,0.972,MAINTENANCE
2024-08-20 02:21:00+00:00,6.43,4.37,1.043,MAINTENANCE
2024-08-20 02:22:00+00:00,6.43,4.37,1.002,MAINTENANCE
2024-08-20 02:23:00+00:00,6.43,4.37,1.031,MAINTENANCE
2024-08-20 02:24:00+00:00,6.43,4.43,1.012,MAINTENANCE
2024-08-20 02:25:00+00:00,6.43,4.43,1.002,MAINTENANCE
2024-08-20 02:26:00+00:00,6.43,4.37,1.005,MAINTENANCE
2024-08-20 02:27:00+00:00,6.43,4.37,1.019,MAINTENANCE
2024-08-20 02:28:00+00:00,6.43,4.37,1.019,MAINTENANCE
2024-08-20 02:29:00+00:00,6.37,4.37,1.012,MAINTENANCE
2024-08-20 02:30:00+00:00,6.43,4.37,1.015,MAINTENANCE
2024-08-20 02:31:00+00:00,6.43,4.37,1.016,MAINTENANCE
2024-08-20 02:32:00+00:00,6.43,4.43,1.015,MAINTENANCE
2024-08-20 02:33:00+00:00,6.43,4.43,1.013,MAINTENANCE
2024-08-20 02:34:00+00:00,6.37,4.43,0.871,MAINTENANCE
2024-08-20 02:35:00+00:00,6.37,4.37,0.963,MAINTENANCE
2024-08-20 02:36:00+00:00,6.43,4.37,1.03,MAINTENANCE
2024-08-20 02:37:00+00:00,6.43,4.37,1.032,MAINTENANCE
2024-08-20 02:38:00+00:00,6.43,4.37,1.002,MAINTENANCE
2024-08-20 02:39:00+00:00,6.43,4.37,0.985,MAINTENANCE
2024-08-20 02:40:00+00:00,6.43,4.37,1.025,MAINTENANCE
2024-08-20 02:41:00+00:00,6.43,4.37,1.022,MAINTENANCE
2024-08-20 02:42:00+00:00,6.43,4.43,1.012,MAINTENANCE
2024-08-20 02:43:00+00:00,6.43,4.37,1.016,MAINTENANCE
2024-08-20 02:44:00+00:00,6.37,4.43,1.016,MAINTENANCE
2024-08-20 02:45:00+00:00,6.43,4.37,1.013,MAINTENANCE
2024-08-20 02:46:00+00:00,6.43,4.37,1.014,MAINTENANCE
2024-08-20 02:47:00+00:00,6.43,4.37,1.013,MAINTENANCE
2024-08-20 02:48:00+00:00,6.5,4.37,1.013,MAINTENANCE
2024-08-20 02:49:00+00:00,6.43,4.37,0.992,MAINTENANCE
2024-08-20 02:50:00+00:00,6.43,4.43,1.039,MAINTENANCE
2024-08-20 02:51:00+00:00,6.5,4.37,0.826,MAINTENANCE
2024-08-20 02:52:00+00:00,6.5,4.37,1.026,MAINTENANCE
2024-08-20 02:53:00+00:00,6.43,4.25,0.923,MAINTENANCE
2024-08-20 02:54:00+00:00,6.43,4.25,1.0,MAINTENANCE
2024-08-20 02:55:00+00:00,6.5,4.18,1.02,MAINTENANCE
2024-08-20 02:56:00+00:00,6.43,4.12,0.74,MAINTENANCE
2024-08-20 02:57:00+00:00,6.43,4.12,0.992,MAINTENANCE
2024-08-20 02:58:00+00:00,6.5,4.06,0.975,MAINTENANCE
2024-08-20 02:59:00+00:00,6.43,4.0,1.009,MAINTENANCE
2024-08-20 03:00:00+00:00,6.43,4.0,0.996,MAINTENANCE
2024-08-20 03:01:00+00:00,6.37,4.06,1.03,MAINTENANCE
2024-08-20 03:02:00+00:00,6.37,4.0,1.007,MAINTENANCE
2024-08-20 03:03:00+00:00,6.37,4.0,1.021,MAINTENANCE
2024-08-20 03:04:00+00:00,6.37,4.0,1.018,MAINTENANCE
2024-08-20 03:05:00+00:00,6.31,4.0,1.016,MAINTENANCE
2024-08-20 03:06:00+00:00,6.31,4.0,1.011,MAINTENANCE
2024-08-20 03:07:00+00:00,6.25,4.0,1.011,MAINTENANCE
2024-08-20 03:08:00+00:00,6.31,4.06,1.013,MAINTENANCE
2024-08-20 03:09:00+00:00,6.31,4.0,1.013,MAINTENANCE
2024-08-20 03:10:00+00:00,6.31,4.0,1.013,MAINTENANCE
2024-08-20 03:11:00+00:00,6.25,4.06,1.015,MAINTENANCE
2024-08-20 03:12:00+00:00,6.31,4.06,1.017,MAINTENANCE
2024-08-20 03:13:00+00:00,6.25,4.0,0.943,MAINTENANCE
2024-08-20 03:14:00+00:00,6.25,4.06,0.976,MAINTENANCE
2024-08-20 03:15:00+00:00,6.31,4.0,1.031,MAINTENANCE
2024-08-20 03:16:00+00:00,6.25,4.0,1.044,MAINTENANCE
2024-08-20 03:17:00+00:00,6.25,4.0,1.006,MAINTENANCE
2024-08-20 03:18:00+00:00,6.18,4.0,1.044,MAINTENANCE
2024-08-20 03:19:00+00:00,6.18,4.0,1.006,MAINTENANCE
2024-08-20 03:20:00+00:00,6.18,4.0,1.009,MAINTENANCE
2024-08-20 03:21:00+00:00,6.18,4.06,1.012,MAINTENANCE
2024-08-20 03:22:00+00:00,6.18,4.0,1.015,MAINTENANCE
2024-08-20 03:23:00+00:00,6.18,4.0,1.012,MAINTENANCE
2024-08-20 03:24:00+00:00,6.12,4.0,1.013,MAINTENANCE
2024-08-20 03:25:00+00:00,6.18,4.06,1.013,MAINTENANCE
2024-08-20 03:26:00+00:00,6.12,4.06,1.013,MAINTENANCE
2024-08-20 03:27:00+00:00,6.18,4.0,1.03,MAINTENANCE
2024-08-20 03:28:00+00:00,6.12,4.0,0.852,MAINTENANCE
2024-08-20 03:29:00+00:00,6.12,4.06,1.008,MAINTENANCE
2024-08-20 03:30:00+00:00,6.12,4.0,1.011,MAINTENANCE
2024-08-20 03:31:00+00:00,6.12,4.0,1.045,MAINTENANCE
2024-08-20 03:32:00+00:00,6.12,4.0,1.022,MAINTENANCE
2024-08-20 03:33:00+00:00,6.12,4.0,1.002,MAINTENANCE
2024-08-20 03:34:00+00:00,6.12,4.0,1.022,MAINTENANCE
2024-08-20 03:35:00+00:00,6.12,4.0,1.016,MAINTENANCE
2024-08-20 03:36:00+00:00,6.12,4.0,1.015,MAINTENANCE
2024-08-20 03:37:00+00:00,6.12,4.06,1.011,MAINTENANCE
2024-08-20 03:38:00+00:00,6.12,4.0,1.012,MAINTENANCE
2024-08-20 03:39:00+00:00,6.12,4.0,1.013,MAINTENANCE
2024-08-20 03:40:00+00:00,6.06,4.0,1.013,MAINTENANCE
2024-08-20 03:41:00+00:00,6.06,4.0,1.013,MAINTENANCE
2024-08-20 03:42:00+00:00,6.12,4.0,1.009,MAINTENANCE
2024-08-20 03:43:00+00:00,6.06,4.0,0.973,MAINTENANCE
2024-08-20 03:44:00+00:00,6.12,4.0,1.06,MAINTENANCE
2024-08-20 03:45:00+00:00,6.06,4.0,0.995,MAINTENANCE
2024-08-20 03:46:00+00:00,6.06,4.0,1.026,MAINTENANCE
2024-08-20 03:47:00+00:00,6.06,4.06,1.025,MAINTENANCE
2024-08-20 03:48:00+00:00,6.06,4.0,1.034,MAINTENANCE
2024-08-20 03:49:00+00:00,6.06,3.93,0.98,MAINTENANCE
2024-08-20 03:50:00+00:00,6.0,4.06,1.014,MAINTENANCE
2024-08-20 03:51:00+00:00,6.06,4.0,1.018,MAINTENANCE
