Over surface temperature (ºC),Surface temperature (ºC),DateTime,AccelX
6.06,4.56,2024-08-20 04:22:52+00:00,0.989
6.12,4.68,2024-08-20 04:23:52+00:00,0.99
6.12,4.75,2024-08-20 04:24:52+00:00,1.003
6.12,4.81,2024-08-20 04:25:52+00:00,1.018
6.12,4.87,2024-08-20 04:26:52+00:00,0.968
6.18,4.87,2024-08-20 04:27:52+00:00,1.013
6.25,4.93,2024-08-20 04:28:52+00:00,0.964
6.25,4.93,2024-08-20 04:29:52+00:00,0.874
6.25,4.87,2024-08-20 04:30:52+00:00,1.012
6.31,4.87,2024-08-20 04:31:52+00:00,1.001
6.31,4.87,2024-08-20 04:32:52+00:00,0.972
6.31,4.87,2024-08-20 04:33:52+00:00,1.013
6.31,4.93,2024-08-20 04:34:52+00:00,1.01
6.37,4.93,2024-08-20 04:35:52+00:00,0.981
6.37,5.06,2024-08-20 04:36:52+00:00,0.979
6.43,5.12,2024-08-20 04:37:52+00:00,0.928
6.5,5.12,2024-08-20 04:38:51+00:00,0.975
6.43,5.18,2024-08-20 04:39:51+00:00,0.967
6.5,5.18,2024-08-20 04:40:51+00:00,0.976
6.56,5.12,2024-08-20 04:41:51+00:00,1.01
6.5,5.18,2024-08-20 04:42:51+00:00,1.043
6.62,5.18,2024-08-20 04:43:51+00:00,1.013
6.62,5.25,2024-08-20 04:44:51+00:00,0.973
6.56,5.18,2024-08-20 04:45:51+00:00,0.986
6.62,5.25,2024-08-20 04:46:51+00:00,0.983
6.68,5.31,2024-08-20 04:47:51+00:00,0.912
6.68,5.25,2024-08-20 04:48:51+00:00,1.019
6.68,5.25,2024-08-20 04:49:51+00:00,0.894
6.75,5.37,2024-08-20 04:50:51+00:00,0.953
6.75,5.31,2024-08-20 04:51:51+00:00,0.953
6.75,5.43,2024-08-20 04:52:51+00:00,0.983
6.81,5.43,2024-08-20 04:53:51+00:00,0.874
6.81,5.43,2024-08-20 04:54:51+00:00,0.897
6.87,5.43,2024-08-20 04:55:51+00:00,0.868
6.87,5.43,2024-08-20 04:56:51+00:00,0.982
6.93,5.5,2024-08-20 04:57:51+00:00,1.015
6.93,5.5,2024-08-20 04:58:51+00:00,1.007
6.93,5.56,2024-08-20 04:59:51+00:00,0.994
6.93,5.56,2024-08-20 05:00:45+00:00,1.034
7.0,5.56,2024-08-20 05:01:45+00:00,1.013
7.0,5.62,2024-08-20 05:02:45+00:00,1.029
7.06,5.68,2024-08-20 05:03:45+00:00,1.012
7.0,5.68,2024-08-20 05:04:45+00:00,1.016
7.06,5.68,2024-08-20 05:05:45+00:00,0.991
7.06,5.68,2024-08-20 05:06:45+00:00,0.987
7.12,5.75,2024-08-20 05:07:45+00:00,0.997
7.12,5.75,2024-08-20 05:08:45+00:00,0.984
7.18,5.75,2024-08-20 05:09:45+00:00,1.031
7.18,5.81,2024-08-20 05:10:45+00:00,1.009
7.25,5.81,2024-08-20 05:11:45+00:00,0.937
7.25,5.81,2024-08-20 05:12:45+00:00,0.758
7.25,5.87,2024-08-20 05:13:45+00:00,0.995
7.31,5.93,2024-08-20 05:14:45+00:00,1.016
